person_id,x,y,cluster
Grp20220712.15.1,28.380882,0.541421,-1
Grp20220712.15.1,28.443485,0.587729,-1
Grp20220712.15.1,27.644569,0.415531,-1
Grp20220712.15.1,27.232893,0.465967,-1
Grp20220712.15.1,27.083578,0.506512,-1
Grp20220712.15.1,27.119514,0.501514,-1
Grp20220712.15.1,27.176521,0.490706,-1
Grp20220712.15.1,27.367632,0.526606,-1
Grp20220712.15.1,26.998135,0.668480,-1
Grp20220712.15.1,26.749506,0.754598,-1
Grp20220712.15.1,26.784191,0.668268,-1
Grp20220712.15.1,26.862286,0.599725,-1
Grp20220712.15.1,26.816849,0.610618,-1
Grp20220712.15.1,26.504210,0.730514,-1
Grp20220712.15.1,26.251959,0.831041,-1
Grp20220712.15.1,25.923241,0.988765,-1
Grp20220712.15.1,25.759554,1.049477,-1
Grp20220712.15.1,25.601805,1.103265,-1
Grp20220712.15.1,25.350058,1.200334,-1
Grp20220712.15.1,25.601467,1.099132,-1
Grp20220712.15.1,25.941921,0.999107,-1
Grp20220712.15.1,26.017900,1.005804,-1
Grp20220712.15.1,26.175411,0.914841,-1
Grp20220712.15.1,26.167238,0.780333,-1
Grp20220712.15.1,25.990898,0.873487,-1
Grp20220712.15.1,25.851734,0.970677,-1
Grp20220712.15.1,25.730267,0.989266,-1
Grp20220712.15.1,25.542803,1.013745,-1
Grp20220712.15.1,25.338158,1.047228,-1
Grp20220712.15.1,25.152937,1.242245,-1
Grp20220712.15.1,25.149124,1.203382,-1
Grp20220712.15.1,24.888372,1.297174,-1
Grp20220712.15.1,24.722189,1.341420,-1
Grp20220712.15.1,24.570341,1.372380,-1
Grp20220712.15.1,24.470293,1.385771,-1
Grp20220712.15.1,24.361025,1.395644,-1
Grp20220712.15.1,24.101059,1.469064,-1
Grp20220712.15.1,23.879543,1.527848,-1
Grp20220712.15.1,23.763159,1.596905,-1
Grp20220712.15.1,23.715357,1.612825,-1
Grp20220712.15.1,23.649130,1.623582,-1
Grp20220712.15.1,23.452213,1.658068,-1
Grp20220712.15.1,23.403910,1.662909,-1
Grp20220712.15.1,21.554649,1.767110,-1
Grp20220712.15.1,23.348238,1.681516,-1
Grp20220712.15.1,23.163895,1.748052,-1
Grp20220712.15.1,23.145054,1.806527,-1
Grp20220712.15.1,22.950853,1.885840,-1
Grp20220712.15.1,22.859600,1.950485,-1
Grp20220712.15.1,22.780210,1.993878,-1
Grp20220712.15.1,22.686136,1.946532,-1
Grp20220712.15.1,22.623306,1.858312,-1
Grp20220712.15.1,22.660233,1.841275,-1
Grp20220712.15.1,22.498051,1.815547,-1
Grp20220712.15.1,22.454716,1.767051,-1
Grp20220712.15.1,22.452625,1.743235,-1
Grp20220712.15.1,22.426071,1.788182,-1
Grp20220712.15.1,22.316277,1.800047,-1
Grp20220712.15.1,22.090017,1.798258,-1
Grp20220712.15.1,21.955774,1.809475,-1
Grp20220712.15.1,21.838242,1.835574,-1
Grp20220712.15.1,21.808849,1.853036,-1
Grp20220712.15.1,21.888735,1.830585,-1
Grp20220712.15.1,21.980183,1.803660,-1
Grp20220712.15.1,21.879784,1.721197,-1
Grp20220712.15.1,22.028473,1.689268,-1
Grp20220712.15.1,22.000355,1.747014,-1
Grp20220712.15.1,21.530434,1.764748,-1
Grp20220712.15.1,22.077093,1.725344,-1
Grp20220712.15.1,22.079763,1.757648,-1
Grp20220712.15.1,21.853415,1.741644,-1
Grp20220712.15.1,21.687901,1.719376,-1
Grp20220712.15.1,21.545700,1.708278,-1
Grp20220712.15.1,21.601192,1.791460,-1
Grp20220712.15.1,21.618452,1.826834,-1
Grp20220712.15.1,21.548048,1.803958,-1
Grp20220712.15.1,21.520864,1.809344,-1
Grp20220712.15.1,21.484665,1.768042,-1
Grp20220712.15.1,21.508753,1.800818,-1
Grp20220712.15.1,21.566957,1.768267,-1
Grp20220712.15.1,21.492456,1.793157,-1
Grp20220712.15.1,21.521612,1.789246,-1
Grp20220712.15.1,21.553928,1.754179,-1
Grp20220712.15.1,21.598536,1.749339,-1
