person_id,x,y,cluster
Grp20220712.15.1,28.380882,0.541421,0
Grp20220712.15.1,28.443485,0.587729,0
Grp20220712.15.1,27.644569,0.415531,0
Grp20220712.15.1,27.232893,0.465967,0
Grp20220712.15.1,27.083578,0.506512,0
Grp20220712.15.1,27.119514,0.501514,0
Grp20220712.15.1,27.176521,0.490706,0
Grp20220712.15.1,27.367632,0.526606,0
Grp20220712.15.1,26.998135,0.668480,0
Grp20220712.15.1,26.749506,0.754598,0
Grp20220712.15.1,26.784191,0.668268,0
Grp20220712.15.1,26.862286,0.599725,0
Grp20220712.15.1,26.816849,0.610618,0
Grp20220712.15.1,26.504210,0.730514,0
Grp20220712.15.1,26.251959,0.831041,0
Grp20220712.15.1,25.923241,0.988765,0
Grp20220712.15.1,25.759554,1.049477,0
Grp20220712.15.1,25.601805,1.103265,0
Grp20220712.15.1,25.350058,1.200334,0
Grp20220712.15.1,25.601467,1.099132,0
Grp20220712.15.1,25.941921,0.999107,0
Grp20220712.15.1,26.017900,1.005804,0
Grp20220712.15.1,26.175411,0.914841,0
Grp20220712.15.1,26.167238,0.780333,0
Grp20220712.15.1,25.990898,0.873487,0
Grp20220712.15.1,25.851734,0.970677,0
Grp20220712.15.1,25.730267,0.989266,0
Grp20220712.15.1,25.542803,1.013745,0
Grp20220712.15.1,25.338158,1.047228,0
Grp20220712.15.1,25.152937,1.242245,0
Grp20220712.15.1,25.149124,1.203382,0
Grp20220712.15.1,24.888372,1.297174,0
Grp20220712.15.1,24.722189,1.341420,0
Grp20220712.15.1,24.570341,1.372380,0
Grp20220712.15.1,24.470293,1.385771,0
Grp20220712.15.1,24.361025,1.395644,0
Grp20220712.15.1,24.101059,1.469064,0
Grp20220712.15.1,23.879543,1.527848,0
Grp20220712.15.1,23.763159,1.596905,0
Grp20220712.15.1,23.715357,1.612825,0
Grp20220712.15.1,23.649130,1.623582,0
Grp20220712.15.1,23.452213,1.658068,0
Grp20220712.15.1,23.403910,1.662909,0
Grp20220712.15.1,21.554649,1.767110,0
Grp20220712.15.1,23.348238,1.681516,0
Grp20220712.15.1,23.163895,1.748052,0
Grp20220712.15.1,23.145054,1.806527,0
Grp20220712.15.1,22.950853,1.885840,0
Grp20220712.15.1,22.859600,1.950485,0
Grp20220712.15.1,22.780210,1.993878,0
Grp20220712.15.1,22.686136,1.946532,0
Grp20220712.15.1,22.623306,1.858312,0
Grp20220712.15.1,22.660233,1.841275,0
Grp20220712.15.1,22.498051,1.815547,0
Grp20220712.15.1,22.454716,1.767051,0
Grp20220712.15.1,22.452625,1.743235,0
Grp20220712.15.1,22.426071,1.788182,0
Grp20220712.15.1,22.316277,1.800047,0
Grp20220712.15.1,22.090017,1.798258,0
Grp20220712.15.1,21.955774,1.809475,0
Grp20220712.15.1,21.838242,1.835574,0
Grp20220712.15.1,21.808849,1.853036,0
Grp20220712.15.1,21.888735,1.830585,0
Grp20220712.15.1,21.980183,1.803660,0
Grp20220712.15.1,21.879784,1.721197,0
Grp20220712.15.1,22.028473,1.689268,0
Grp20220712.15.1,22.000355,1.747014,0
Grp20220712.15.1,21.530434,1.764748,0
Grp20220712.15.1,22.077093,1.725344,0
Grp20220712.15.1,22.079763,1.757648,0
Grp20220712.15.1,21.853415,1.741644,0
Grp20220712.15.1,21.687901,1.719376,0
Grp20220712.15.1,21.545700,1.708278,0
Grp20220712.15.1,21.601192,1.791460,0
Grp20220712.15.1,21.618452,1.826834,0
Grp20220712.15.1,21.548048,1.803958,0
Grp20220712.15.1,21.520864,1.809344,0
Grp20220712.15.1,21.484665,1.768042,0
Grp20220712.15.1,21.508753,1.800818,0
Grp20220712.15.1,21.566957,1.768267,0
Grp20220712.15.1,21.492456,1.793157,0
Grp20220712.15.1,21.521612,1.789246,0
Grp20220712.15.1,21.553928,1.754179,0
Grp20220712.15.1,21.598536,1.749339,0
Grp20220712.15.1,21.555580,1.735680,0
Grp20220712.15.1,21.467207,1.809027,0
Grp20220712.15.1,21.408386,1.823036,0
Grp20220712.15.1,21.366434,1.847243,0
Grp20220712.15.1,21.329821,1.876181,0
Grp20220712.15.1,21.577129,1.920584,0
Grp20220712.15.1,21.646757,1.924942,0
Grp20220712.15.1,21.682358,1.912874,0
Grp20220712.15.1,21.599438,1.930033,0
Grp20220712.15.1,21.637201,1.911678,0
Grp20220712.15.1,21.573505,1.954974,0
Grp20220712.15.1,21.620211,1.941927,0
Grp20220712.15.1,21.633564,1.910949,0
Grp20220712.15.1,21.555527,1.907406,0
Grp20220712.15.1,21.500937,1.922188,0
Grp20220712.15.1,21.554043,1.893645,0
Grp20220712.15.1,21.586075,1.851654,0
Grp20220712.15.1,21.534796,1.820891,0
Grp20220712.15.1,21.461151,1.820703,0
Grp20220712.15.1,21.415609,1.786950,0
Grp20220712.15.1,21.364330,1.790411,0
Grp20220712.15.1,21.347506,1.773093,0
Grp20220712.15.1,21.315845,1.788876,0
Grp20220712.15.1,21.281445,1.738553,0
Grp20220712.15.1,21.343212,1.703473,0
Grp20220712.15.1,21.316351,1.668910,0
Grp20220712.15.1,21.297533,1.626109,0
